"","CatalogNumber","RouteIdentifier","SurveyAreaIdentifier","SpeciesCode","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","CollectorNumber","DecimalLatitude","DecimalLongitude","ObservationCount"
"26","167219-1-2550-19","VIPQ-8","VIPQ-8","GBHE","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"27","273337-1-590-4","VIVI-16","VIVI-16","GWTE","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","27"
"28","152179-1-451-2","GIPE-9","GIPE-9","MALL","2020","11","8","12.2833","0.883333","1055118","48.804417","-123.272995","3"
"29","149941-1-2900-3","GIPE-3","GIPE-3","OSPR","2020","9","10","13.25","0.333333","1078346","48.759563","-123.207329","1"
"30","149915-1-4210-10","VICX-3","VICX-3","KILL","2020","10","12","13","2.25","1074637","49.714108","-124.873199","7"
"31","132637-1-770-3","LMWR-2","LMWR-2","SUSC","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","164"
"32","20478-1-3020-7","VIBM-2","VIBM-2","BAEA","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","5"
"33","159210-1-820-6","VICX-7","VICX-7","BUFF","2021","3","13","15","1.5","1054998","49.653252","-124.942177","40"
"34","58588-1-880-4","VIPM-2","VIPM-2","COME","2016","7","17","7","2","1054944","50.788406","-126.438927","12"
"35","58588-1-2420-7","VIPM-2","VIPM-2","PECO","2016","7","17","7","2","1054944","50.788406","-126.438927","2"
"36","167158-1-2850-18","VIPQ-8","VIPQ-8","TUVU","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"37","127526-1-9750-15","SCPR-1","SCPR-1","BEKI","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","1"
"38","20478-1-1650-2","VIBM-2","VIBM-2","WEGR","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","5"
"39","150369-1-820-3","GIPE-9","GIPE-9","BUFF","2020","11","8","12.2833","0.866666","1055118","48.804417","-123.272995","19"
"40","151785-1-880-5","VIPQ-9","VIPQ-9","COME","2020","12","13","11","2","1075146","49.299919","-124.155808","2"
"41","40287-1-540-3","LMVN-67","LMVN-67","NSHO","2004","10","10","14.1667","0.5","1053929","49.271713","-123.197548","5"
"42","40287-1-451-2","LMVN-67","LMVN-67","MALL","2004","10","10","14.1667","0.5","1053929","49.271713","-123.197548","239"
"43","159210-1-5160-9","VICX-7","VICX-7","CAGU","2021","3","13","15","1.5","1054998","49.653252","-124.942177","6"
"44","131007-1-270-1","GISS-1","GISS-1","MUSW","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","2"
"45","131055-1-1550-8","GIGB5","GIGB5","PALO","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","1"
"46","130971-1-5730-14","GISS-1","GISS-1","COMU","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","1"
"47","128835-1-45994-4","VICX-12","VICX-12","WWSC","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","150"
"48","276100-1-47928-50","SCPR-3","SCPR-3",NA,"2021","10","8","7.66667","4","1080016","49.766373","-124.340492","13"
"49","149915-1-5142-12","VICX-3","VICX-3","SHBG","2020","10","12","13","2.25","1074637","49.714108","-124.873199","52"
"50","130971-1-270-1","GISS-1","GISS-1","MUSW","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","2"
"51","103504-1-1620-9","SCBI-11","SCBI-11","HOGR","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"52","151641-1-2420-14","SCPR-1","SCPR-1","PECO","2020","12","12","13","2","1043283","49.816643","-124.530579","5"
"53","109449-1-4210-3","VICR-1","VICR-1","KILL","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","4"
"54","57354-1-451-3","LMVN-8","LMVN-8","MALL","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","35"
"55","50470-1-30508-10","LMVN-12","LMVN-12","NOPI","2012","2","13","9","2","1055009","49.165325","-123.204292","66"
"56","49814-1-7440-2","LMSQ-17","LMSQ-17","GHOW","2011","1","9","8.5","4","1054942","49.686455","-123.152031","1"
"57","182396-1-451-6","NCKI-1","NCKI-1","MALL","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","130"
"58","103504-1-2390-12","SCBI-11","SCBI-11","DCCO","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"59","130997-1-3020-9","GIGB5","GIGB5","BAEA","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","5"
"60","102196-1-820-4","GIHO-4","GIHO-4","BUFF","2019","1","13","13.5","1.25","1055051","49.543369","-124.633522","6"
"61","287191-1-420-1","SCPR-1","SCPR-1","AMWI","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","23"
"62","50470-1-3020-7","LMVN-12","LMVN-12","BAEA","2012","2","13","9","2","1055009","49.165325","-123.204292","12"
"63","107269-1-1670-4","LMVN-29","LMVN-29","UNGR","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","1"
"64","287191-1-770-4","SCPR-1","SCPR-1","SUSC","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","91"
"65","128314-1-13900-16","SCPR-1","SCPR-1","AMCR","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","2"
"66","160156-1-180-1","VICX-3","VICX-3","BRAN","2021","3","15","17","2","1074637","49.714108","-124.873199","51"
"67","152177-1-5800-4","GIPE-14","GIPE-14","MAMU","2020","11","8","11.9833","0.133333","1055118","48.812180","-123.273727","1"
"68","131682-1-820-2","GIHO-10","GIHO-10","BUFF","2020","2","9","9.25","0.25","1054964","49.498619","-124.677040","4"
"69","19474-1-680-15","LMVN-8","LMVN-8","GRSC","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"70","89224-1-230-1","SCPR-2","SCPR-2","CAGO","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","14"
"71","284214-1-3020-11","VINN-7","VINN-7","BAEA","2022","2","13","11","0.666667","1030870","49.240520","-123.970940","2"
"72","93225-1-13900-2","LMSQ-20","LMSQ-20","AMCR","2017","5","14","12.25","0.25","1054942","49.710426","-123.150291","3"
"73","57354-1-5250-26","LMVN-8","LMVN-8","GWGU","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","102"
"74","290590-1-4270-10","SCPR-1","SCPR-1","BLOY","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","2"
"75","132637-1-45994-4","LMWR-2","LMWR-2","WWSC","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","17"
"76","45970-1-45994-3","VICX-3","VICX-3","WWSC","2008","11","9","11","2","1054987","49.714108","-124.873199","2"
"77","167158-1-2420-15","VIPQ-8","VIPQ-8","PECO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"78","130971-1-2420-17","GISS-1","GISS-1","PECO","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","2"
"79","152177-1-840-2","GIPE-14","GIPE-14","BAGO","2020","11","8","11.9833","0.133333","1055118","48.812180","-123.273727","2"
"80","128314-1-1560-11","SCPR-1","SCPR-1","COLO","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"81","279327-2-5350-8","VINN-13","VINN-13","UNGU","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","170"
"82","182388-1-420-4","NCKI-1","NCKI-1","AMWI","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","50"
"83","128834-1-451-2","VICX-12","VICX-12","MALL","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","3"
"84","131845-1-4820-13","GIGB-3","GIGB-3","DUNL","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","60"
"85","57354-1-3580-20","LMVN-8","LMVN-8","MERL","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"86","131845-1-4210-10","GIGB-3","GIGB-3","KILL","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","2"
"87","182388-1-160-1","NCKI-1","NCKI-1","SNGO","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","16"
"88","151003-1-5250-11","GIDE-1","GIDE-1","GWGU","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","500"
"89","32487-1-6110-4","LMSQ-20","LMSQ-20","ECDO","2015","7","12","12.75","0.25","1054942","49.710426","-123.150291","5"
"90","149915-1-5240-13","VICX-3","VICX-3","WEGU","2020","10","12","13","2.25","1074637","49.714108","-124.873199","1"
"91","150369-1-5250-9","GIPE-9","GIPE-9","GWGU","2020","11","8","12.2833","0.866666","1055118","48.804417","-123.272995","3"
"92","290590-1-2420-8","SCPR-1","SCPR-1","PECO","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","1"
"93","151003-1-14010-14","GIDE-1","GIDE-1","CORA","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","1"
"94","127548-1-13900-12","LMWR-2","LMWR-2","AMCR","2019","10","13","16.5833","0.916666","1054978","49.019089","-122.817352","5"
"95","290590-1-1560-5","SCPR-1","SCPR-1","COLO","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","1"
"96","101650-1-2550-8","LMSQ-12","LMSQ-12","GBHE","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","24"
"97","150369-1-230-1","GIPE-9","GIPE-9","CAGO","2020","11","8","12.2833","0.866666","1055118","48.804417","-123.272995","41"
"98","159358-1-2550-5","LMVN-34","LMVN-34","GBHE","2021","3","14","18","0.5","1121619","49.293617","-123.037277","2"
"99","154088-1-820-3","VINN-12","VINN-12","BUFF","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","30"
"100","150369-1-1650-6","GIPE-9","GIPE-9","WEGR","2020","11","8","12.2833","0.866666","1055118","48.804417","-123.272995","5"
"101","149915-1-1530-16","VICX-3","VICX-3","RTLO","2020","10","12","13","2.25","1074637","49.714108","-124.873199","1"
"102","19474-1-2420-5","LMVN-8","LMVN-8","PECO","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2"
"103","32013-1-6110-10","LMSQ-11","LMSQ-11","ECDO","2015","10","11","10.9","0.216667","1054942","49.686741","-123.165680","25"
"104","57354-1-2420-14","LMVN-8","LMVN-8","PECO","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2"
"105","118687-1-230-1","GIHO-4","GIHO-4","CAGO","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"106","58588-1-9750-17","VIPM-2","VIPM-2","BEKI","2016","7","17","7","2","1054944","50.788406","-126.438927","4"
"107","53840-1-880-1","VIBM-2","VIBM-2","COME","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","8"
"108","19474-1-4270-19","LMVN-8","LMVN-8","BLOY","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","6"
"109","57354-1-3061-17","LMVN-8","LMVN-8","NOHA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"110","118687-1-1650-4","GIHO-4","GIHO-4","WEGR","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"111","132637-1-1630-6","LMWR-2","LMWR-2","RNGR","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","1"
"112","132637-1-45379-9","LMWR-2","LMWR-2","UNCO","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","6"
"113","102209-1-820-4","GIHO-4","GIHO-4","BUFF","2019","1","13","13.5","1.25","1055051","49.543369","-124.633522","6"
"114","152179-1-1620-5","GIPE-9","GIPE-9","HOGR","2020","11","8","12.2833","0.883333","1055118","48.804417","-123.272995","1"
"115","118685-1-230-1","GIHO-4","GIHO-4","CAGO","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"116","273337-1-1630-6","VIVI-16","VIVI-16","RNGR","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","2"
"117","154105-1-5142-9","VINN-12","VINN-12","SHBG","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","33"
"118","20478-1-2420-1","VIBM-2","VIBM-2","PECO","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","7"
"119","112303-1-5250-3","LMSQ-19","LMSQ-19","GWGU","2017","5","14","12","0.25","1054942","49.707039","-123.144310","2"
"120","273337-1-2900-18","VIVI-16","VIVI-16","OSPR","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","1"
"121","20478-1-13900-4","VIBM-2","VIBM-2","AMCR","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","4"
"122","128314-1-14010-17","SCPR-1","SCPR-1","CORA","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","2"
"123","154105-1-1620-6","VINN-12","VINN-12","HOGR","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","2"
"124","89224-1-820-4","SCPR-2","SCPR-2","BUFF","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","18"
"125","130997-1-840-2","GIGB5","GIGB5","BAGO","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","32"
"126","19474-1-410-2","LMVN-8","LMVN-8","EUWI","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","8"
"127","151004-1-770-4","GIDE-1","GIDE-1","SUSC","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","20"
"128","128314-1-3020-14","SCPR-1","SCPR-1","BAEA","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","2"
"129","58589-1-5800-16","VIPM-2","VIPM-2","MAMU","2016","7","17","7","2","1054944","50.788406","-126.438927","35"
"130","57354-1-2550-16","LMVN-8","LMVN-8","GBHE","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","7"
"131","182389-1-880-2","VICV-7","VICV-7","COME","2021","5","9","17","1","1055020","48.746307","-123.625557","2"
"132","287192-1-5250-16","SCPR-1","SCPR-1","GWGU","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","22"
"133","279327-2-880-5","VINN-13","VINN-13","COME","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"134","130971-1-5250-22","GISS-1","GISS-1","GWGU","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","26"
"135","149917-1-5142-11","VICX-3","VICX-3","SHBG","2020","10","12","13","2.25","1074637","49.714108","-124.873199","52"
"136","149917-1-791-5","VICX-3","VICX-3","BLSC","2020","10","12","13","2.25","1074637","49.714108","-124.873199","4"
"137","273337-1-4780-9","VIVI-16","VIVI-16","PESA","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","1"
"138","151784-1-830-5","SCPR-1","SCPR-1","COGO","2020","12","12","13","2","1043283","49.816643","-124.530579","2"
"139","151784-1-1630-8","SCPR-1","SCPR-1","RNGR","2020","12","12","13","2","1043283","49.816643","-124.530579","1"
"140","279327-2-451-2","VINN-13","VINN-13","MALL","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"141","57354-1-2390-13","LMVN-8","LMVN-8","DCCO","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","25"
"142","167158-1-230-1","VIPQ-8","VIPQ-8","CAGO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","5"
"143","287191-1-1560-10","SCPR-1","SCPR-1","COLO","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","2"
"144","166548-1-810-3","VIVI-35","VIVI-35","LTDU","2021","2","21","8.25","1.25","1054973","48.585434","-123.362808","4"
"145","290983-1-1550-18","VIVI-30","VIVI-30","PALO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","7"
"146","166868-1-6110-45","SCPR-3","SCPR-3","ECDO","2021","4","10","12.5333","3.75","1080016","49.766373","-124.340492","3"
"147","86613-1-695-3","GIGB-4","GIGB-4",NA,"2018","1","13","9.5","2.5","1078328","49.193161","-123.866173","2"
"148","279338-2-820-3","VINN-13","VINN-13","BUFF","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","26"
"149","150422-1-3020-13","VIBC-2","VIBC-2","BAEA","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","2"
"150","106840-1-230-1","LMSQ-2","LMSQ-2","CAGO","2017","5","14","7.75","0.216667","1053929","49.695358","-123.184853","10"
"151","130971-1-420-2","GISS-1","GISS-1","AMWI","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","9"
"152","284214-1-4270-3","VINN-7","VINN-7","BLOY","2022","2","13","11","0.666667","1030870","49.240520","-123.970940","2"
"153","291018-1-1530-17","VIVI-30","VIVI-30","RTLO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","1"
"154","287191-1-840-7","SCPR-1","SCPR-1","BAGO","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","29"
"155","150422-1-5350-10","VIBC-2","VIBC-2","UNGU","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","600"
"156","131845-1-2390-21","GIGB-3","GIGB-3","DCCO","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","2"
"157","151004-1-820-6","GIDE-1","GIDE-1","BUFF","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","90"
"158","273337-1-5780-10","VIVI-16","VIVI-16","PIGU","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","1"
"159","182389-1-5250-4","VICV-7","VICV-7","GWGU","2021","5","9","17","1","1055020","48.746307","-123.625557","5"
"160","290983-1-230-1","VIVI-30","VIVI-30","CAGO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"161","291018-1-5910-14","VIVI-30","VIVI-30","RHAU","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","31"
"162","58589-1-13900-19","VIPM-2","VIPM-2","AMCR","2016","7","17","7","2","1054944","50.788406","-126.438927","96"
"163","130872-1-5250-17","GISS-1","GISS-1","GWGU","2020","1","11","13.75","2","1055037","48.836075","-123.451881","26"
"164","31986-1-6110-4","LMSQ-13","LMSQ-13","ECDO","2014","7","13","10.2167","0.233334","1054942","49.698147","-123.160049","5"
"165","151653-1-45419-3","LMVN-38","LMVN-38","AMCO","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","1"
"166","151003-1-1620-8","GIDE-1","GIDE-1","HOGR","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","1"
"167","130971-1-4640-13","GISS-1","GISS-1","BLTU","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","12"
"168","130872-1-5730-14","GISS-1","GISS-1","COMU","2020","1","11","13.75","2","1055037","48.836075","-123.451881","1"
"169","151003-1-45994-5","GIDE-1","GIDE-1","WWSC","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","71"
"170","130872-1-1620-11","GISS-1","GISS-1","HOGR","2020","1","11","13.75","2","1055037","48.836075","-123.451881","33"
"171","291018-1-4640-11","VIVI-30","VIVI-30","BLTU","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"172","149917-1-9750-19","VICX-3","VICX-3","BEKI","2020","10","12","13","2.25","1074637","49.714108","-124.873199","1"
"173","128835-1-1620-8","VICX-12","VICX-12","HOGR","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","1"
"174","130971-1-890-10","GISS-1","GISS-1","RBME","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","48"
"175","150365-1-840-2","GIPE-14","GIPE-14","BAGO","2020","11","8","11.9833","0.083333","1055118","48.812180","-123.273727","2"
"176","159212-1-3020-11","VICX-7","VICX-7","BAEA","2021","3","13","15","1.5","1054998","49.653252","-124.942177","4"
"177","45972-1-1560-8","VICX-3","VICX-3","COLO","2008","11","9","11","2","1078227","49.714108","-124.873199","7"
"178","106842-1-5350-2","LMSQ-4","LMSQ-4","UNGU","2017","5","14","8.25","0.216666","1053929","49.689358","-123.178101","1"
"179","50470-1-5350-8","LMVN-12","LMVN-12","UNGU","2012","2","13","9","2","1055009","49.165325","-123.204292","4"
"180","112305-1-451-1","LMSQ-20","LMSQ-20","MALL","2017","5","14","12.25","0.25","1054942","49.710426","-123.150291","1"
"181","103504-1-830-5","SCBI-11","SCBI-11","COGO","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","5"
"182","103504-1-1600-8","SCBI-11","SCBI-11","PBGR","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","1"
"183","167158-1-13900-21","VIPQ-8","VIPQ-8","AMCR","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","11"
"184","182389-1-230-1","VICV-7","VICV-7","CAGO","2021","5","9","17","1","1055020","48.746307","-123.625557","1"
"185","106839-1-1530-6","LMSQ-1","LMSQ-1","RTLO","2017","5","14","7.5","0.216667","1054942","49.679691","-123.172699","1"
"186","107272-1-13900-9","LMVN-29","LMVN-29","AMCR","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","13"
"187","107272-1-1560-6","LMVN-29","LMVN-29","COLO","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","1"
"188","128896-1-5190-17","VICX-3","VICX-3",NA,"2019","11","10","13.25","3.08333","1074637","49.714108","-124.873199","3"
"189","159358-1-420-1","LMVN-34","LMVN-34","AMWI","2021","3","14","18","0.5","1121619","49.293617","-123.037277","10"
"190","150425-1-5350-10","VIBC-2","VIBC-2","UNGU","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","600"
"191","167158-1-830-4","VIPQ-8","VIPQ-8","COGO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"192","39821-1-7440-8","LMSQ-12","LMSQ-12","GHOW","2003","3","9","9","4.5","1054942","49.691441","-123.166588","1"
"193","53840-1-5142-8","VIBM-2","VIBM-2","SHBG","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","1"
"194","159212-1-5190-10","VICX-7","VICX-7",NA,"2021","3","13","15","1.5","1054998","49.653252","-124.942177","2600"
"195","106257-1-2850-6","VIVI-61","VIVI-61","TUVU","2019","4","15","11","1.75","1055004","48.451252","-123.417732","1"
"196","89224-1-890-7","SCPR-2","SCPR-2","RBME","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","4"
"197","107269-1-2420-7","LMVN-29","LMVN-29","PECO","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","7"
"198","127548-1-230-1","LMWR-2","LMWR-2","CAGO","2019","10","13","16.5833","0.916666","1054978","49.019089","-122.817352","63"
"199","107272-1-840-3","LMVN-29","LMVN-29","BAGO","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","1"
"200","109448-1-2850-8","VICR-1","VICR-1","TUVU","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","3"
"201","53840-1-9750-11","VIBM-2","VIBM-2","BEKI","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","1"
"202","288014-1-2900-20","VIVI-16","VIVI-16","OSPR","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","1"
"203","45970-1-750-1","VICX-3","VICX-3","HARD","2008","11","9","11","2","1054987","49.714108","-124.873199","37"
"204","50607-1-2550-7","LMVN-12","LMVN-12","GBHE","2012","2","13","9","2","1054976","49.165325","-123.204292","6"
"205","50607-1-5350-10","LMVN-12","LMVN-12","UNGU","2012","2","13","9","2","1054976","49.165325","-123.204292","4"
"206","128314-1-5190-8","SCPR-1","SCPR-1",NA,"2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","3"
"207","159210-1-3020-11","VICX-7","VICX-7","BAEA","2021","3","13","15","1.5","1054998","49.653252","-124.942177","4"
"208","290983-1-13910-21","VIVI-30","VIVI-30","NOCR","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"209","128314-1-4270-5","SCPR-1","SCPR-1","BLOY","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","4"
"210","182381-1-2900-8","VICV-7","VICV-7","OSPR","2021","5","9","17","1","1055020","48.746307","-123.625557","4"
"211","45970-1-800-4","VICX-3","VICX-3","UNSC","2008","11","9","11","2","1054987","49.714108","-124.873199","25"
"212","149915-1-9750-20","VICX-3","VICX-3","BEKI","2020","10","12","13","2.25","1074637","49.714108","-124.873199","1"
"213","109448-1-5250-5","VICR-1","VICR-1","GWGU","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","29"
"214","57583-1-6110-34","VIVI-16","VIVI-16","ECDO","2016","2","16","13.6667","2.5","1054996","48.381138","-123.494041","1"
"215","129086-1-14010-8","GIHO-18","GIHO-18","CORA","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","2"
