OBJECTID,TransectID,SurveySide,SurveyYear,PocketEstuary,Shape_Length,Shape_Area
39,44,Left,2017,0,48217.290173990186304,3929780.383081854786724
40,44,Right,2017,0,47334.207161928206915,3857330.724481715355068
41,47,Left,2017,0,35649.998035043041455,2898548.500474411062896
42,47,Right,2017,0,37107.993493137277255,3018180.629537075757980
43,51,Left,2017,0,23645.671747755473916,1913761.330327905714512
44,51,Right,2017,0,23074.867358553645317,1866917.077727948315442
45,53,Left,2017,0,101500.781930456258124,8292196.490912230685353
46,53,Right,2017,0,99722.036577479317202,8157473.120116490870714
47,55,Left,2017,0,51530.893384827766567,4201597.371820358559489
48,55,Right,2017,0,51760.323630397433590,4205320.076059592887759
49,57,Left,2017,0,54280.075215252429189,4413775.611445107497275
50,57,Right,2017,0,52453.681363924748439,4278123.168567533604801
51,60,Left,2017,0,199661.390756160311867,16179627.559943066909909
52,60,Right,2017,0,200012.780106736609014,16388685.026746639981866
53,63,Left,2017,0,172327.989684762287652,14116668.074304681271315
54,63,Right,2017,0,178249.605271838780027,14602616.916209915652871
55,66,Left,2017,0,53417.182395042131247,4315622.387067895382643
56,66,Right,2017,0,52301.932409022709180,4244970.354458848014474
57,68,Left,2017,0,77308.331222884589806,6228686.054770895279944
58,68,Right,2017,0,76882.183102754177526,6283183.512404982000589
59,71,Left,2017,0,140775.947282933921088,11527413.046038566157222
60,71,Right,2017,0,144455.079430584242800,11829559.889852412045002
61,73,Left,2017,0,206272.265347519045463,16784828.995386518537998
62,73,Right,2017,0,209224.103479534620419,17145413.771920684725046
63,76,Left,2017,0,423963.752235428139102,34770483.286591202020645
64,76,Right,2017,0,423623.793313368107192,34679364.344437576830387
65,79,Left,2017,0,34274.019765936864133,2786129.429846366401762
66,79,Right,2017,0,34626.480962988607644,2808352.257234118878841
67,80,Left,2017,0,239614.528129758546129,19639945.124641139060259
68,80,Right,2017,0,239040.497988825634820,19387973.310979228466749
69,83,Left,2017,0,109725.113238144331262,8976467.372028535231948
70,83,Right,2017,0,108866.804346488017472,8906046.985900247469544
71,85,Left,2017,0,308094.607073009654414,25253111.384892608970404
72,85,Right,2017,0,309921.067822599667124,25402979.306505993008614
73,88,Left,2017,0,110008.031743821891723,8361214.610658468678594
74,88,Right,2017,0,105483.006715391587932,8357969.584483803249896
75,90,Left,2017,0,58051.724629889242351,4734558.797459969297051
76,90,Right,2017,0,57837.752278003150423,4711419.393986066803336
77,92,Left,2017,0,105318.850948430888820,8333557.060572814196348
78,92,Right,2017,0,108422.294212272492587,8640019.784693602472544
79,94,Left,2017,0,68198.750755929300794,5568866.847668964415789
80,94,Right,2017,0,67977.229020107741235,5550690.517271604388952
81,97,Left,2017,0,139428.381152704911074,11416573.940528921782970
82,97,Right,2017,0,143378.196573323686607,11740739.714700611308217
83,99,Left,2017,0,149229.092400832625572,12221292.672046115621924
84,99,Right,2017,0,148050.102567164867651,12124536.427904412150383
85,102,Left,2017,0,323611.607447104295716,26533912.800477564334869
86,102,Right,2017,0,321707.592523450031877,26377655.346775405108929
87,104,Left,2017,0,7941.952583098296600,624913.515621355036274
88,104,Right,2017,0,7672.558419430629328,602806.164672145154327
89,106,Left,2017,0,74329.973422798197134,6073799.614552380517125
90,106,Right,2017,0,74186.735014526813757,5982079.226684612222016
91,108,Left,2017,0,44261.183883379650069,3605780.389477969612926
92,108,Right,2017,0,44024.496784853392455,3553879.251613265834749
93,110,Left,2017,0,323676.174297184858005,26475532.480270758271217
94,110,Right,2017,0,323216.180373451730702,26485507.342723473906517
95,113,Left,2017,0,112985.816174995125039,9245269.492588520050049
96,113,Right,2017,0,112975.985227195269545,9244480.359789004549384
97,114,Left,2017,0,32973.143016181100393,2678892.063404352869838
98,114,Right,2017,0,33663.179638379762764,2735697.302927868440747
99,117,Left,2017,0,94221.670773328733048,7553473.418886674568057
100,117,Right,2017,0,88600.592448591560242,7279766.329190112650394
101,120,Left,2017,0,149907.751831059751566,12275705.060329066589475
102,120,Right,2017,0,150091.091527752490947,12291896.991525147110224
103,122,Left,2017,0,19172.136034310515242,1533720.333601972321048
104,122,Right,2017,0,20340.197411887445924,1632948.374927341938019
105,125,Left,2017,0,46777.908962987385166,3812011.190289834979922
106,125,Right,2017,0,42951.211664438727894,3498020.225534858182073
107,127,Left,2017,0,67050.961711258889409,5464638.929803824052215
108,127,Right,2017,0,61109.948644003539812,4943661.936604912392795
109,129,Left,2017,0,69412.482970652054064,5669882.444061463698745
110,129,Right,2017,0,69953.519769922597334,5714287.668183487839997
111,131,Left,2017,0,205698.444204617320793,16855725.262227069586515
112,131,Right,2017,0,203029.599071255885065,16632001.093948036432266
113,134,Left,2017,0,97742.953091893039527,7995463.329189549200237
114,134,Right,2017,0,98095.370587462719413,7937941.878169989213347
115,138,Left,2017,0,16741.477560251314571,1338770.637446818407625
116,138,Right,2017,0,12828.848041223713153,967581.963426633970812
117,141,Left,2017,0,34427.694004204429802,2790931.424666081555188
118,141,Right,2017,0,35358.833863038817071,2875056.699188482947648
119,145,Left,2017,0,121965.642221031070221,9976702.583671879023314
120,145,Right,2017,0,122271.056226906512165,9908113.099160982295871
121,147,Left,2017,0,43211.394215963497118,3499798.388865236192942
122,147,Right,2017,0,43222.662995119862899,3519570.726965187117457
123,150,Left,2017,0,265194.190457244578283,21796848.678316209465265
124,150,Right,2017,0,265279.254119627876207,21745135.843274865299463
125,153,Left,2017,0,160456.471822631458053,13102639.791266858577728
126,153,Right,2017,0,157423.621894562704256,12736367.119327075779438
127,156,Left,2017,0,186478.242155579966493,15273810.124166809022427
128,156,Right,2017,0,181694.830122314306209,14835661.245560439303517
129,158,Left,2017,0,52274.760353714169469,4262773.909578249789774
130,158,Right,2017,0,50256.222526064033445,4091933.371464115567505
131,161,Left,2017,0,49485.813021216665220,3722347.016529388260096
132,161,Right,2017,0,51528.843977917102166,4201015.090579013340175
133,163,Left,2017,0,10787.324799266725677,798384.733307842747308
134,163,Right,2017,0,10301.343503513702672,731768.449657875811681
135,167,Left,2017,0,18067.125873961547768,1413948.437081138836220
136,167,Right,2017,0,17973.146518936529901,1364614.337743068113923
137,169,Left,2017,0,47006.394643100800749,3609257.360583352390677
138,169,Right,2017,0,43895.285062519367784,3520870.399529870599508
139,171,Left,2017,0,94353.903702882380458,7598018.453146382234991
140,171,Right,2017,0,95505.523030767129967,7809348.144766351208091
141,174,Left,2017,0,37733.709183590137400,3069273.877674782183021
142,174,Right,2017,0,37915.738663222844480,3084203.741670016665012
143,176,Left,2017,0,42054.432296604842122,3423707.950496192090213
144,176,Right,2017,0,39873.124413585923321,3244760.424789625220001
145,178,Left,2017,0,180401.378517714649206,14724381.767256334424019
146,178,Right,2017,0,181506.670185158058302,14848334.062698561698198
147,180,Left,2017,0,135996.718581048335182,11131724.555384088307619
148,180,Right,2017,0,134250.223625628015725,10988445.008711898699403
149,182,Left,2017,0,15865.783064497589294,1274887.520194265991449
150,182,Right,2017,0,17122.551228553802503,1377990.583939360454679
151,183,Left,2017,0,11234.553373458256829,819974.330787337268703
152,183,Right,2017,0,13080.336804311133164,903444.570640882011503
153,186,Left,2017,0,20397.914918939924974,1646752.327089705038816
154,186,Right,2017,0,21833.211609269816108,1764506.659417479066178
155,189,Left,2017,0,22945.465809535759035,1855767.735622072126716
156,189,Right,2017,0,21963.748451639359700,1775226.910974564030766
157,192,Left,2017,0,96231.398592020443175,7868949.933628286235034
158,192,Right,2017,0,73508.371318009158131,4706068.731653017923236
159,193,Left,2017,0,529.214913119445669,16354.279681860336495
160,193,Right,2017,0,587.051739242132726,21238.683947778616130
161,197,Left,2017,0,157868.980531136476202,12192755.201902572065592
162,197,Right,2017,0,157993.677629353798693,12400917.162732236087322
163,200,Left,2017,0,103768.598303586491966,8487291.494957912713289
164,200,Right,2017,0,104595.570820624387125,8555142.014916807413101
165,202,Left,2017,0,18468.671999563448480,1485276.016875440487638
166,202,Right,2017,0,18147.212221577919991,1462762.599978673271835
167,204,Left,2017,0,56870.821495256270282,4638643.135694657452404
168,204,Right,2017,0,58411.845774463690759,4766198.026303218677640
169,206,Left,2017,0,119063.508148949666065,9571465.084952808916569
170,206,Right,2017,0,118393.303171561652562,9687230.591916425153613
171,208,Left,2017,0,19238.693971874537965,1531182.218380989506841
172,208,Right,2017,0,17241.917018766616820,1375706.986538375262171
173,211,Left,2017,0,19955.230115321861376,1610384.440101751824841
174,211,Right,2017,0,19161.012076227627404,1374927.550286114681512
175,214,Left,2017,0,81192.202840199082857,6604203.938501914031804
176,214,Right,2017,0,81957.567252743669087,6697769.537328455597162
177,216,Left,2017,0,5775.908006500508236,439111.307187225029338
178,216,Right,2017,0,5504.829960835711063,425866.002707794134039
179,218,Left,2017,0,4084.456808999766508,308204.181261951162014
180,218,Right,2017,0,3027.476491322679976,216579.666180801956216
181,220,Left,2017,0,38555.703985974090756,3136623.027580602560192
182,220,Right,2017,0,38809.584811072490993,3157462.434109236113727
183,223,Left,2017,0,104703.023239553964231,8546065.818340413272381
184,223,Right,2017,0,104810.914325346428086,8518878.127033954486251
185,226,Left,2017,0,34668.545595471201523,2817632.602545166853815
186,226,Right,2017,0,30133.728254450281383,2451579.871195821091533
187,229,Left,2017,0,332348.784142888674978,26884011.459349669516087
188,229,Right,2017,0,332574.176074596354738,27177301.517898999154568
189,233,Left,2017,0,93028.115917749237269,7432036.465626199729741
190,233,Right,2017,0,100246.553465766148292,7986354.720389602705836
191,236,Left,2017,0,37939.129141932993662,3085940.264596184249967
192,236,Right,2017,0,34485.076917881182453,2802574.577374668791890
193,239,Left,2017,0,102211.905837579863146,8362295.740946820937097
194,239,Right,2017,0,102167.213473707350204,8358638.985414725728333
195,241,Left,2017,0,97677.113434645070811,7946777.229307485744357
196,241,Right,2017,0,95462.103013124113204,7808520.152907145209610
197,244,Left,2017,0,350900.842433524725493,28762868.805618919432163
198,244,Right,2017,0,351178.340048753074370,28612685.857463531196117
199,247,Left,2017,0,209178.427415288984776,17142726.215778134763241
200,247,Right,2017,0,214387.936294249229832,17570304.413923401385546
201,250,Left,2017,0,646314.372153972624801,53023682.920387081801891
202,250,Right,2017,0,645731.713055219384842,52816359.437480382621288
203,252,Left,2017,0,154671.355338045512326,12379102.554225912317634
204,252,Right,2017,0,152712.898877815896412,12414841.461837444454432
205,255,Left,2017,0,127298.195569308983977,10421833.285609701648355
206,255,Right,2017,0,125414.753398152504815,10267277.979909969493747
207,257,Left,2017,0,266386.258939973427914,21839278.676496960222721
208,257,Right,2017,0,266395.393615999200847,21840213.173989731818438
209,259,Left,2017,0,8180.835514639644316,645312.179630503756925
210,259,Right,2017,0,6868.364498595642544,534194.809793770313263
211,261,Left,2017,0,43067.037177010002779,3508240.892093591857702
212,261,Right,2017,0,38341.999517656062380,3119246.618095287121832
213,263,Left,2017,0,46398.597925178677542,3781673.590541415382177
214,263,Right,2017,0,45396.309566746545897,3699418.930758733768016
215,266,Left,2017,0,40105.855185769498348,3250348.293853021692485
216,266,Right,2017,0,37899.536677254967799,3075409.903640569187701
217,267,Left,2017,0,19950.355623381907208,1610678.914395728614181
218,267,Right,2017,0,24248.269883615557774,1963427.149622623575851
219,270,Left,2017,0,142267.939906950428849,11578879.047867687419057
220,270,Right,2017,0,142808.353207054315135,11570977.716665074229240
221,272,Left,2017,0,50176.972373596319812,4091953.694854035042226
222,272,Right,2017,0,48467.622930426659877,3951644.623655605129898
223,276,Left,2017,0,23447.085682043318229,1893215.661758947651833
224,276,Right,2017,0,22808.903362247667246,1844750.020153484540060
225,279,Left,2017,0,125312.535633393155877,10255854.853239804506302
226,279,Right,2017,0,123797.209319252418936,10131530.753065040335059
227,282,Left,2017,0,89278.555890275412821,7298999.351494789123535
228,282,Right,2017,0,89423.024462359448080,7310864.282928971573710
229,284,Left,2017,0,260553.362791677762289,21351091.413821984082460
230,284,Right,2017,0,259135.749893374770181,21236890.770485602319241
231,286,Left,2017,0,13606.122884395537767,1070886.324075447162613
232,286,Right,2017,0,13647.043956301682556,1032994.623480463982560
233,289,Left,2017,0,87612.427424328299821,7161865.208145775832236
234,289,Right,2017,0,89377.625953736162046,7306684.062832856550813
235,291,Left,2017,0,108012.117003698047483,8835972.098036909475923
236,291,Right,2017,0,109403.861821987360599,8939101.684142053127289
237,293,Left,2017,0,2973.803145140751440,217083.838684729067609
238,293,Right,2017,0,2722.725489709197518,196482.781183601298835
239,295,Left,2017,0,121405.819970755910617,9934788.142228629440069
240,295,Right,2017,0,121438.573894616056350,9937494.753196408972144
241,298,Left,2017,0,25715.293181292545341,2025803.078215597663075
242,298,Right,2017,0,26031.485153093461122,2109028.345723548904061
243,301,Left,2017,0,55894.244115090063133,4559284.750241586938500
244,301,Right,2017,0,55889.723222546926991,4555436.746062824502587
245,304,Left,2017,0,81242.656319280038588,6639181.412104074843228
246,304,Right,2017,0,82179.053711222833954,6714085.652403280138969
247,306,Left,2017,0,45771.772657593894110,3728689.558887956198305
248,306,Right,2017,0,45144.639188222463417,3677244.252925842069089
249,309,Left,2017,0,260073.058754817320732,21306688.725126884877682
250,309,Right,2017,0,258278.461049937206553,21165171.882046308368444
251,312,Left,2017,0,27985.878922903724742,2269367.544266324490309
252,312,Right,2017,0,29749.016997310107399,2414403.972824320662767
253,314,Left,2017,0,40087.579693228857650,3262291.981666385661811
254,314,Right,2017,0,39537.440567394485697,3179626.190505474805832
255,317,Left,2017,0,129929.973166035808390,10633926.743003888055682
256,317,Right,2017,0,125189.528860452410299,10239994.966745749115944
257,320,Left,2017,0,38521.896288937226927,3122741.408716354519129
258,320,Right,2017,0,41234.363990049299900,3327524.793603702448308
259,322,Left,2017,0,36229.645711754274089,2741922.920941742602736
260,322,Right,2017,0,40417.865000532539852,3231531.957281110808253
261,325,Left,2017,0,211158.863150842546020,17162986.642564576119184
262,325,Right,2017,0,211391.008843399496982,17317873.248473957180977
263,328,Left,2017,0,120135.986443109053653,9810358.651090076193213
264,328,Right,2017,0,120542.000027052854421,9773575.462234243750572
265,331,Left,2017,0,165766.721768708142918,13524780.463439019396901
266,331,Right,2017,0,166981.412712188088335,13680572.692809583619237
267,334,Left,2017,0,11769.786209299365510,939245.348216894664802
268,334,Right,2017,0,11703.969874019650888,933843.356846539536491
269,336,Left,2017,0,12230.428138358573051,977061.557467219769023
270,336,Right,2017,0,12157.202827902419813,927829.635129522881471
271,339,Left,2017,0,119520.719023002078757,9784855.098533248528838
272,339,Right,2017,0,121050.608816513093188,9910429.702317219227552
273,341,Left,2017,0,60588.818168390142091,4942702.150285546667874
274,341,Right,2017,0,62502.813593682527426,5036788.167262257076800
275,343,Left,2017,0,121168.542524788645096,9873284.763495497405529
276,343,Right,2017,0,120767.737913207150996,9830102.930533990263939
277,346,Left,2017,0,319959.105467943940312,26239004.025690317153931
278,346,Right,2017,0,322914.156665715971030,26481551.208754941821098
279,348,Left,2017,0,35892.630932327665505,2919569.261396052315831
280,348,Right,2017,0,39052.366893287246057,3178908.602011073380709
281,350,Left,2017,0,3685.648657261866447,275609.899665157543495
282,350,Right,2017,0,4039.248856287470062,305004.206253449490760
283,352,Left,2017,0,2816.724659458363021,204350.689021564001450
284,352,Right,2017,0,4388.476118737456090,334146.864891979144886
285,356,Left,2017,0,4816.757877892824581,368454.971416480431799
286,356,Right,2017,0,4954.680629518326896,379775.312662676617038
287,357,Left,2017,0,30786.415429692377074,2500352.814795502927154
288,357,Right,2017,0,30836.514800420569372,2504463.446914677508175
289,359,Left,2017,0,69709.398762880271534,5695364.129367469809949
290,359,Right,2017,0,66888.788601076084888,5464262.011333371512592
291,361,Left,2017,0,341647.195901851635426,27668491.227163702249527
292,361,Right,2017,0,343480.107981216337066,28149001.241967890411615
293,365,Left,2017,0,128772.577432593941921,10542110.505483539775014
294,365,Right,2017,0,126755.192896717067924,10376545.222346708178520
295,368,Left,2017,0,257504.492549119138857,21107750.244907405227423
296,368,Right,2017,0,261618.612043721921509,21445367.254163447767496
297,370,Left,2017,0,478017.479537991690449,39205127.191491626203060
298,370,Right,2017,0,476827.020587981620338,39107416.615449666976929
299,372,Left,2017,0,12638.030928560112443,1002355.727738012908958
300,372,Right,2017,0,8710.096494528019321,631897.751874473877251
301,374,Left,2017,0,70177.694928979282849,5732700.638958288356662
302,374,Right,2017,0,73359.340487553286948,5993791.823496308177710
303,376,Left,2017,0,9006.280371299497347,712229.261253251461312
304,376,Right,2017,0,9380.212176497889232,742916.286991513101384
305,378,Left,2017,0,67087.430476862034993,5189046.197677570395172
306,378,Right,2017,0,64722.720491460124322,5284959.090523180551827
307,379,Left,2017,0,372084.878079303540289,30510960.802058678120375
308,379,Right,2017,0,367962.409709710627794,30000750.142473213374615
309,381,Left,2017,0,326645.633726855099667,26734382.804865956306458
310,381,Right,2017,0,330337.683020125667099,27085470.372558351606131
311,383,Left,2017,0,352913.755961249989923,28938740.989794500172138
312,383,Right,2017,0,351732.531137743673753,28841786.001237671822309
313,385,Left,2017,0,242236.098561673570657,19855492.861326020210981
314,385,Right,2017,0,241863.935510379640618,19824937.657600481063128
315,387,Left,2017,0,47258.262089037452824,3852091.716860841028392
316,387,Right,2017,0,47143.394609227601904,3842659.726422556675971
317,389,Left,2017,0,79809.880836825977894,6523830.536489515565336
318,389,Right,2017,0,80001.237324846762931,6540174.477281208150089
319,391,Left,2017,0,295681.800048650067765,24241848.003685105592012
320,391,Right,2017,0,293306.839976222079713,24046935.249513294547796
321,394,Left,2017,0,140581.808452673314605,11509757.476385777816176
322,394,Right,2017,0,141274.422267237212509,11566605.182860713452101
323,397,Left,2017,0,20165.856883387710695,1628005.925360687542707
324,397,Right,2017,0,20932.466137856925343,1690910.542311383876950
325,400,Left,2017,0,49790.092049231578130,4030069.757887056563050
326,400,Right,2017,0,48676.780606643718784,3967849.459782251156867
327,403,Left,2017,0,14451.535626306596896,1159070.025232943706214
328,403,Right,2017,0,14231.012252351500138,1140972.960955078480765
329,405,Left,2017,0,23269.620270606730628,1830731.220569421071559
330,405,Right,2017,0,23210.922195100727549,1877952.474181513534859
331,408,Left,2017,0,138412.679877332091564,11332047.057270398363471
332,408,Right,2017,0,143389.574941838945961,11740395.310277700424194
333,411,Left,2017,0,23650.022532918414072,1913886.050961694912985
334,411,Right,2017,0,24320.964325874690985,1968935.078728785272688
335,413,Left,2017,0,45488.050853725013440,3706091.602613483555615
336,413,Right,2017,0,44959.592179867337109,3662735.741330458782613
337,416,Left,2017,0,70321.879226885008393,5744010.939477246254683
338,416,Right,2017,0,70254.458606822605361,5738478.088019739836454
339,418,Left,2017,0,81842.812177794738091,6689515.586800842545927
340,418,Right,2017,0,81533.652395906872698,6664151.320957639254630
341,421,Left,2017,0,131411.124932199774776,10757274.797845888882875
342,421,Right,2017,0,130966.400105372085818,10703090.341822255402803
343,423,Left,2017,0,139462.528196744009620,11313437.875441228970885
344,423,Right,2017,0,138741.155759671935812,11158952.310755742713809
345,426,Left,2017,0,136981.400360484694829,11214231.529807789251208
346,426,Right,2017,0,137312.673174626426771,11241343.149254823103547
347,428,Left,2017,0,72651.779276648085215,5935194.928369167260826
348,428,Right,2017,0,71110.025913240722730,5808681.083892565220594
349,430,Left,2017,0,36782.872672273646458,2991623.976523297838867
350,430,Right,2017,0,37386.322570268159325,3041963.418441049754620
351,432,Left,2017,0,166559.516303419921314,13641296.950328461825848
352,432,Right,2017,0,165827.122586850513471,13580965.379478784278035
353,435,Left,2017,0,131953.558332707209047,10799507.785956410691142
354,435,Right,2017,0,130743.834321967908181,10624211.651994507759809
355,437,Left,2017,0,68895.970145276965923,5620242.987185642123222
356,437,Right,2017,0,67005.465355950116646,5392328.709724634885788
357,439,Left,2017,0,256167.725818064704072,20996802.095081772655249
358,439,Right,2017,0,257530.558448759838939,21016689.481669053435326
359,441,Left,2017,0,90840.164963081158930,7428493.982213463634253
360,441,Right,2017,0,89569.152656072692480,7313723.323893161490560
361,443,Left,2017,0,103811.289347195881419,8487754.721429245546460
362,443,Right,2017,0,103105.512735622309265,8434924.822074742987752
363,445,Left,2017,0,60842.790390923328232,4935513.167043512687087
364,445,Right,2017,0,64442.610000380569545,5200773.520976143889129
365,448,Left,2017,0,26810.664379573714541,2173288.032257104292512
366,448,Right,2017,0,25003.240518081343907,2024989.209393462399021
367,450,Left,2017,0,18493.369380538959376,1490721.084148636786267
368,450,Right,2017,0,16948.977374475300167,1325601.350532639306039
369,452,Left,2017,0,89665.707074164645746,7287815.230082088150084
370,452,Right,2017,0,88551.237176340815495,7239769.217221459373832
371,454,Left,2017,0,171807.388604758743895,14073519.270906552672386
372,454,Right,2017,0,170320.562649261468323,13951471.898470519110560
373,457,Left,2017,0,86494.774199630119256,7074356.922288521192968
374,457,Right,2017,0,85998.256817601053626,7033596.767196932807565
375,459,Left,2017,0,18368.331123885247507,1449057.369415328837931
376,459,Right,2017,0,18079.577978903238545,1457455.135450644651428
377,461,Left,2017,0,171894.304375077685108,14087493.623065002262592
378,461,Right,2017,0,173587.486769488372374,14226535.734942054376006
379,464,Left,2017,0,128864.784456633453374,10554360.364983147010207
380,464,Right,2017,0,131185.833321965066716,10745516.885690271854401
381,467,Left,2017,0,146639.112400953832548,12014464.351080311462283
382,467,Right,2017,0,140117.290846777032129,11471163.229294942691922
383,470,Left,2017,0,52637.119698647002224,4295383.777487941086292
384,470,Right,2017,0,50706.362453901951085,4136899.686499745119363
385,473,Left,2017,0,10855.962576991449168,864503.041959383292124
386,473,Right,2017,0,13196.583444279500327,1056675.819184751249850
387,474,Left,2017,0,127611.540086420383886,10452477.085002414882183
388,474,Right,2017,0,127336.035814887771267,10429927.207886472344398
389,475,Left,2017,0,53735.846955187909771,4385741.760701695457101
390,475,Right,2017,0,53659.244445352836919,4379461.891090781427920
391,478,Left,2017,0,29837.612982489470596,2423282.111646277364343
392,478,Right,2017,0,31210.688037005333172,2512608.468170660547912
393,481,Left,2017,0,22690.414563164809806,1836354.854716860223562
394,481,Right,2017,0,23109.608995771868649,1870770.138600607868284
395,482,Left,2017,0,323744.767147362930700,26476577.904409062117338
396,482,Right,2017,0,328187.240703973919153,26922401.297261863946915
397,484,Left,2017,0,468240.660646294825710,38422623.270394288003445
398,484,Right,2017,0,468888.811387723486405,38382027.419378191232681
399,486,Left,2017,0,515115.882534231001046,42157346.905061595141888
400,486,Right,2017,0,518055.689391936815809,42513416.711278729140759
401,488,Left,2017,0,75665.997064442635747,6098833.544092661701143
402,488,Right,2017,0,80030.431373566971160,6528377.134549992159009
403,490,Left,2017,0,173604.083085223217495,14227603.016768466681242
404,490,Right,2017,0,175812.779155986936530,14408919.085974719375372
405,492,Left,2017,0,194854.210555592930177,15972309.660561190918088
406,492,Right,2017,0,192557.695586430345429,15783766.245297178626060
407,494,Left,2017,0,451009.170069046318531,37005846.902110897004604
408,494,Right,2017,0,449936.670374839624856,36868420.688242897391319
409,496,Left,2017,0,21145.167230330629536,1665542.744438298046589
410,496,Right,2017,0,20286.466566116137983,1638767.370563467498869
411,498,Left,2017,0,73991.413087592169177,6048198.984748125076294
412,498,Right,2017,0,75530.660992635981529,6174562.696803526021540
413,500,Left,2017,0,139767.912277331168298,11448871.040167395025492
414,500,Right,2017,0,138129.457111533673014,11314379.599700074642897
415,502,Left,2017,0,38189.857059016685525,3063478.699962252285331
416,502,Right,2017,0,39074.700619612936862,3181170.276092118117958
417,505,Left,2017,0,336183.973142874659970,27411380.422428768128157
418,505,Right,2017,0,335352.656275005894713,27497325.847504988312721
419,507,Left,2017,0,244219.868392375181429,20003399.779125124216080
420,507,Right,2017,0,242573.551966317434562,19881985.309563592076302
421,509,Left,2017,0,324836.864066662907135,26586863.418891403824091
422,509,Right,2017,0,324976.722816780209541,26607434.521216887980700
423,511,Left,2017,0,165716.002474283537595,13574541.137333119288087
424,511,Right,2017,0,162649.915162497345591,13281289.300503510981798
425,513,Left,2017,0,18456.115815927711083,1485083.319987825816497
426,513,Right,2017,0,18946.777016153617296,1527870.128872296772897
427,515,Left,2017,0,284783.130877954303287,23352133.676917366683483
428,515,Right,2017,0,284131.619381870026700,23186662.538681492209435
429,517,Left,2017,0,118358.249519418430282,9690648.557757280766964
430,517,Right,2017,0,119453.348848658075440,9758332.442477034404874
431,520,Left,2017,0,43450.441490193668869,3540399.401030733250082
432,520,Right,2017,0,45861.658216251373233,3738325.623229582328349
433,522,Left,2017,0,36136.183703440830868,2939846.636621259152889
434,522,Right,2017,0,37124.203891287201259,3020947.657853475771844
435,524,Left,2017,0,69508.163554131300771,5679609.667218674905598
436,524,Right,2017,0,70361.692938984429929,5749684.820133009925485
437,526,Left,2017,0,7199.287158193807954,548684.850755825522356
438,526,Right,2017,0,6329.448205283177231,492722.355397867155261
439,528,Left,2017,0,14651.068122363170914,1175894.565299467416480
440,528,Right,2017,0,14757.884269183496144,1184659.994589650072157
441,530,Left,2017,0,8880.736190022149458,702149.899885210907087
442,530,Right,2017,0,9635.051778835930236,764074.433637225534767
443,533,Left,2017,0,166640.252411473018583,13542387.300969440490007
444,533,Right,2017,0,165709.700019310432253,13480057.240415001288056
445,536,Left,2017,0,29441.849941248463438,2390013.605288637336344
446,536,Right,2017,0,26419.528373177767207,2141916.048948755953461
447,538,Left,2017,0,89921.169425881424104,7339389.758922729641199
448,538,Right,2017,0,88678.703410156216705,7248609.060413152910769
449,540,Left,2017,0,3169.151546324341325,233218.526420627575135
