"","SurveyAreaIdentifier","DecimalLatitude","DecimalLongitude"
"127",94,48.2322,-122.766766666667
"128",148,47.7047166666667,-122.507966666667
"129",12,47.5403,-122.397433333333
"130",75,47.0582166666667,-122.90195
"131",163,48.6398166666667,-122.4809
"132",191,48.5429666666667,-123.161483333333
"133",28,47.8113833333333,-122.3891
"134",108,48.1648833333333,-123.949716666667
"135",124,48.2644333333333,-122.74825
"136",114,48.1554666666667,-123.176733333333
"137",121,48.0949166666667,-122.723683333333
"138",123,48.1557666666667,-122.6744
"139",141,47.3856666666667,-122.478216666667
"140",48,47.2835833333333,-122.481283333333
"141",132,47.5087166666667,-122.46405
"142",136,47.38885,-122.374433333333
"143",133,47.47375,-122.445233333333
"144",140,47.38975,-122.446133333333
"145",155,48.5279,-122.646783333333
"146",149,47.6626666666667,-122.500116666667
"147",189,48.4534833333333,-122.962833333333
"148",175,48.71405,-122.906333333333
"149",77,47.3318166666667,-122.670016666667
"150",157,48.4206333333333,-122.56005
"151",169,48.99115,-122.771283333333
"152",181,48.4467333333333,-122.8997
"153",176,48.6916833333333,-122.905133333333
"154",180,48.4626333333333,-122.942733333333
"155",184,48.4607,-122.82305
"156",177,48.69515,-122.8985
"157",182,48.4293666666667,-122.87715
"158",192,47.0518833333333,-122.99535
"159",188,48.4561,-123.0023
"160",164,48.5787166666667,-122.54185
"161",186,48.52015,-123.00915
"162",178,48.558,-122.890583333333
"163",46,47.3128166666667,-122.528
"164",190,48.5149666666667,-123.151616666667
