"","Locality","DecimalLatitude","DecimalLongitude"
"80","Ladysmith",48.9754,-123.78
"81","Everett",48.15,-122.2333
"82","Kitsap County",47.632265,-122.660915
"83","Lasqueti Island",49.516919,-124.278098
"84","Wenatchee",47.455052,-120.323017
"85","Comox",49.672597,-124.928681
"86","Pender Harbour",49.674402,-124.015042
"87","Nakusp",50.214745,-117.721852
"88","Campbell River",49.966567,-125.208804
"89","Grand Coulee",47.883341,-119.083307
"90","Nelson",49.493046,-117.294982
"91","Deep Bay",49.465746,-124.736161
"92","Harrop-Balfour",49.66083,-117.05738
"93","Greater Masset",54.046406,-132.190262
"94","Prince Rupert",54.283544,-130.314566
"95","Salmon Arm",50.700007,-119.233303
"96","Nanoose Bay",49.284962,-124.135687
"97","Merritt",50.163412,-120.674156
"98","Trail-Beaver Valley",49.133372,-117.566613
"99","Galiano-North Saltspring",48.906886,-123.458853
"100","Castlegar",49.34839,-117.58377
"101","Cortes Island",50.075363,-124.954979
"102","Kuskanook",49.2969,-116.658
"103","Powell River",49.818174,-124.445662
"104","Harrison River",49.316327,-121.849881
"105","Sidney-South Saltspring",48.695615,-123.427806
"106","Kitimat",54.059172,-128.677735
"107","Squamish",49.730941,-123.145178
"108","Port Clements",53.634598,-132.212873
"109","Cheney",47.49741,-117.5518
"110","Savona-Walhachin",50.756462,-120.872337
"111","Kingfisher",50.650353,-118.841696
"112","D'arcy-Birken",50.510541,-122.502622
"113","Revelstoke",51.006028,-118.220567
"114","Colville",48.597244,-117.954411
"115","Chewelah",48.2833,-117.7167
"116","Princeton",49.467751,-120.515447
"117","Tahsis Inlet",49.8333,-126.6667
"118","Creston",49.15,-116.5333
"119","100 Mile House",51.664559,-121.289504
"120","Kaslo",49.910678,-116.960021
"121","Castlegar",49.3402778,-117.5888889
"122","Creston Valley",49.100029,-116.516706
"123","Prince George",53.91184,-122.7648
"124","Grand Forks",49.046714,-118.348906
"125","Smithers",54.777959,-127.175754
"126","Fauquier",49.917019,-118.016776
"127","Cranbrook",49.475027,-115.772949
"128","Burns Lake-Francois Lake",54.133255,-125.716651
"129","Mackenzie",55.338154,-123.094511
"130","Kimberley",49.717177,-115.833322
"131","Soda Creek",52.358,-122.315
"132","Yalakom Valley",50.875703,-122.177001
"133","Logan Lake",50.49442778,-120.8133083
"134","Pemberton-Mt. Currie",50.316294,-122.767772
"135","McBride",53.322011,-120.223902
"136","Fernie",49.497077,-115.037922
"137","Lake Windermere District",50.5333,-116.0667
"138","Rossland-Warfield",49.100193,-117.850007
"139","Hat Creek",50.749435,-121.581044
"140","Bridge Lake",51.499829,-120.702577
"141","Terrace",54.472861,-128.575008
"142","Bridesville",49.060121,-119.220289
"143","Vanderhoof",54.0105,-123.9985
"144","Golden",51.307,-116.9656
"145","Pend Oreille",48.114782,-117.115016
"146","Apex-Hedley",49.3076,-119.917
"147","Edgewood",49.7581,-118.2403
"148","Sparwood",49.7321,-114.887
"149","Dawson Creek",55.750029,-120.216701
"150","Narcosli",52.741,-122.526
"151","Armstrong-Enderby",50.4815,-119.2112
"152","Wells-Bowron",53.166389,-121.480834
"153","Yoho N.P.",51.3167,-116.5333
"154","Lower Slocan Valley",49.6167,-117.5667
"155","Elkford",50.0218,-114.9167
"156","Big White",49.802396,-119.030484
"157","Atlin",59.5112,-133.5987
"158","The Hazeltons",55.3333,-127.75
"159","Valemount",52.828516,-119.277911
"160","Tumbler Ridge",55.12455556,-121.0072722
"161","Skidegate Inlet",53.211184,-131.987641
"162","Rose Spit",54.000408,-131.666836
"163","Wells Gray",51.9167,-120.0167
"164","Clearwater",51.65,-120.0333
"165","Bella Coola",52.379373,-126.637052
"166","Blaeberry",51.49333,-117.053
"167","Broughton Strait",50.583321,-127.000006
"168","Stewart-Hyder",55.953806,-129.975297
"169","Stuix-Tweedsmuir",52.36867,-126.06807
"170","Rivers Inlet Mouth",51.50241,-127.62213
"171","Juan de Fuca",48.459985,-124.168908
"172","Quillayute River",47.9,-124.5333
"173","Sayward",50.3667,-125.9167
"174","Tlell",53.563607,-131.942305
"175","Port Angeles-Victoria",48.13,-123.24
"176","Tofino",49.15275,-125.9086
"177","North Pine",56.3667,-120.5
"178","Charlie Lake",56.277,-120.952
"179","Hecate Strait",53.782949,-131.166851
"180","Naden Harbour",54.03333,-132.58333
"181","Denny Island-Bella Bella",52.137697,-128.071428
"182","Langara Island",54.16667,-133.01667
"183","Powder King",55.364326,-122.611473
