OID_,abbrev,name,count_yr,min_temp,max_temp,min_wind,max_wind,wind_direction,min_snow,max_snow,still_water,moving_water,am_cloud,pm_cloud,am_rain_cond_names,pm_rain_cond_names,am_snow_cond_names,pm_snow_cond_names
25,BCKA,Kamloops,91,-16.000000000000000,-6.000000000000000,10.000000000000000,10.000000000000000,East,4.000000000000000,8.000000000000000,Frozen,Partly Frozen,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
26,BCKE,Kelowna,91,32.000000000000000,38.000000000000000,0.000000000000000,0.000000000000000,Calm,2.000000000000000,4.000000000000000,Partly Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
27,BCKI,Kitimat,91,0.000000000000000,0.000000000000000,15.000000000000000,15.000000000000000,North,25.000000000000000,25.000000000000000,Frozen,Frozen,Unknown,Unknown,None,None,Heavy,Heavy
28,BCLA,Ladner,91,25.000000000000000,31.000000000000000,5.000000000000000,5.000000000000000,South,0.000000000000000,0.000000000000000,Partly Frozen,Partly Frozen,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
29,BCBA,Bamfield,92,40.000000000000000,52.000000000000000,5.000000000000000,5.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
30,BCBL,Burns Lake-Francois Lake,92,32.000000000000000,44.000000000000000,10.000000000000000,10.000000000000000,South,12.000000000000000,12.000000000000000,Partly Open,Partly Open,Clear,Cloudy,None,None,None,Light
31,BCCB,Cranbrook,92,18.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,Calm,4.000000000000000,4.000000000000000,Frozen,Partly Open,Foggy,Cloudy,Unknown,Unknown,Unknown,Unknown
32,BCCH,Chilliwack,92,32.000000000000000,38.000000000000000,3.000000000000000,3.000000000000000,West,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
33,BCCO,Comox,92,34.000000000000000,36.000000000000000,4.000000000000000,4.000000000000000,Northwest,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Foggy,Unknown,Unknown,Unknown,Unknown
34,BCCR,Campbell River,92,40.000000000000000,49.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Light,None,None
35,BCDB,Deep Bay,92,44.000000000000000,46.000000000000000,5.000000000000000,5.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
36,BCDU,Duncan,92,37.000000000000000,48.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,None,None,None
37,BCFA,Fauquier,92,29.000000000000000,35.000000000000000,1.000000000000000,2.000000000000000,North,0.000000000000000,24.000000000000000,Open,Open,Foggy,Cloudy,Light,Light,Light,Light
38,BCFS,Fort St. James,92,30.000000000000000,33.000000000000000,5.000000000000000,5.000000000000000,North,15.000000000000000,15.000000000000000,Partly Open,Open,Cloudy,Partly Clear,None,None,Light,None
39,BCKA,Kamloops,92,39.000000000000000,41.000000000000000,2.000000000000000,2.000000000000000,East,0.000000000000000,0.000000000000000,Frozen,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
40,BCKE,Kelowna,92,32.000000000000000,34.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Partly Open,Open,Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
41,BCKI,Kitimat,92,35.000000000000000,40.000000000000000,10.000000000000000,10.000000000000000,,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Light,None,None
42,BCLA,Ladner,92,40.000000000000000,47.000000000000000,5.000000000000000,7.000000000000000,South,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
43,BCBA,Bamfield,93,28.000000000000000,30.000000000000000,5.000000000000000,5.000000000000000,Northeast,3.000000000000000,3.000000000000000,Partly Frozen,Open,Cloudy,Cloudy,None,None,None,Light
44,BCBL,Burns Lake-Francois Lake,93,0.000000000000000,10.000000000000000,5.000000000000000,5.000000000000000,Northeast,12.000000000000000,12.000000000000000,Partly Open,Frozen,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
45,BCCB,Cranbrook,93,7.000000000000000,12.000000000000000,12.000000000000000,20.000000000000000,Northeast,4.000000000000000,16.000000000000000,Frozen,Partly Frozen,Cloudy,Cloudy,None,None,Light,Light
46,BCCH,Chilliwack,93,28.000000000000000,34.000000000000000,3.000000000000000,3.000000000000000,East,5.000000000000000,8.000000000000000,Partly Frozen,Open,Unknown,Unknown,None,None,Heavy,Heavy
47,BCCO,Comox,93,32.000000000000000,36.000000000000000,5.000000000000000,5.000000000000000,,0.000000000000000,0.000000000000000,Partly Frozen,Open,Foggy,Cloudy,None,Light,None,None
48,BCCR,Campbell River,93,32.000000000000000,35.000000000000000,10.000000000000000,10.000000000000000,Southeast,12.000000000000000,12.000000000000000,Open,Open,Foggy,Partly Cloudy,None,None,Heavy,Light
49,BCDB,Deep Bay,93,30.000000000000000,32.000000000000000,6.000000000000000,6.000000000000000,Northwest,2.000000000000000,2.000000000000000,Partly Open,Open,Foggy,Cloudy,Light,None,Light,Heavy
50,BCDU,Duncan,93,26.000000000000000,30.000000000000000,0.000000000000000,5.000000000000000,Variable,8.000000000000000,8.000000000000000,Partly Frozen,Open,Cloudy,Partly Cloudy,None,None,Light,None
51,BCFA,Fauquier,93,2.000000000000000,16.000000000000000,2.000000000000000,5.000000000000000,North,20.000000000000000,60.000000000000000,Frozen,Partly Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
52,BCFS,Fort St. James,93,-18.000000000000000,0.000000000000000,5.000000000000000,5.000000000000000,West,18.000000000000000,18.000000000000000,Frozen,Partly Frozen,Partly Cloudy,Unknown,None,None,None,Light
53,BCKA,Kamloops,93,2.000000000000000,3.000000000000000,12.000000000000000,12.000000000000000,East,12.000000000000000,12.000000000000000,Frozen,Partly Open,Unknown,Unknown,None,None,Light,Light
54,BCKB,Kimberley,93,-4.000000000000000,17.000000000000000,0.000000000000000,0.000000000000000,Calm,3.000000000000000,8.000000000000000,Frozen,Partly Frozen,Cloudy,Cloudy,None,None,Light,Light
55,BCKE,Kelowna,93,16.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,Calm,12.000000000000000,12.000000000000000,Frozen,Frozen,Unknown,Partly Clear,None,None,Light,None
56,BCKI,Kitimat,93,15.000000000000000,20.000000000000000,10.000000000000000,10.000000000000000,North,12.000000000000000,12.000000000000000,Frozen,Partly Open,Unknown,Unknown,None,None,Light,Light
57,BCLA,Ladner,93,32.000000000000000,36.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
58,BCBA,Bamfield,94,2.000000000000000,8.000000000000000,10.000000000000000,20.000000000000000,South,0.000000000000000,0.000000000000000,Open,Open,Unknown,Unknown,Heavy,"Heavy,Light",None,None
59,BCBL,Burns Lake-Francois Lake,94,0.000000000000000,32.000000000000000,1.000000000000000,1.000000000000000,Northwest,10.000000000000000,10.000000000000000,Frozen,Partly Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
60,BCCB,Cranbrook,94,-25.000000000000000,16.000000000000000,0.000000000000000,0.000000000000000,Calm,3.000000000000000,12.000000000000000,Frozen,Partly Frozen,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
61,BCCH,Chilliwack,94,29.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Frozen,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
62,BCCO,Comox,94,41.000000000000000,43.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,None,None,Light,None
63,BCCR,Campbell River,94,30.000000000000000,41.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
64,BCDB,Deep Bay,94,46.000000000000000,47.000000000000000,12.000000000000000,12.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Light,None,None
65,BCDU,Duncan,94,37.000000000000000,45.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
66,BCFA,Fauquier,94,29.000000000000000,32.000000000000000,0.000000000000000,5.000000000000000,Unknown,8.000000000000000,8.000000000000000,Open,Open,Cloudy,Foggy,None,None,None,"Heavy,Light"
67,BCFS,Fort St. James,94,13.000000000000000,20.000000000000000,5.000000000000000,5.000000000000000,North,12.000000000000000,12.000000000000000,Frozen,Partly Frozen,Unknown,Unknown,None,None,Heavy,Heavy
68,BCKA,Kamloops,94,27.000000000000000,36.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,3.000000000000000,Partly Open,Open,Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
69,BCKB,Kimberley,94,28.000000000000000,37.000000000000000,4.000000000000000,4.000000000000000,West,3.000000000000000,8.000000000000000,Frozen,Partly Frozen,Partly Clear,Cloudy,None,Light,None,Light
70,BCKE,Kelowna,94,25.000000000000000,30.000000000000000,0.000000000000000,5.000000000000000,South,1.000000000000000,1.000000000000000,Partly Frozen,Partly Frozen,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
71,BCKI,Kitimat,94,32.000000000000000,33.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Cloudy,Light,None,None,None
72,BCLA,Ladner,94,39.000000000000000,47.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Foggy,Local Fog,Unknown,Unknown,Unknown,Unknown
73,BCBA,Bamfield,95,40.000000000000000,45.000000000000000,20.000000000000000,20.000000000000000,North,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
74,BCBL,Burns Lake-Francois Lake,95,10.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,Calm,18.000000000000000,18.000000000000000,Partly Frozen,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
75,BCBR,Broughton Strait,95,38.000000000000000,43.000000000000000,5.000000000000000,40.000000000000000,Variable,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Heavy,Light,None,None
76,BCCB,Cranbrook,95,28.000000000000000,32.000000000000000,0.000000000000000,0.000000000000000,Calm,6.000000000000000,12.000000000000000,Frozen,Partly Frozen,Cloudy,Cloudy,None,None,Light,Light
77,BCCH,Chilliwack,95,34.000000000000000,38.000000000000000,7.000000000000000,7.000000000000000,West,0.000000000000000,0.000000000000000,Partly Frozen,Open,Unknown,Unknown,Heavy,Heavy,None,None
78,BCCO,Comox,95,48.000000000000000,49.000000000000000,17.000000000000000,17.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Light,None,None
79,BCCR,Campbell River,95,37.000000000000000,48.000000000000000,20.000000000000000,20.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Cloudy,Heavy,None,None,None
80,BCDB,Deep Bay,95,30.000000000000000,39.000000000000000,5.000000000000000,5.000000000000000,Northwest,0.000000000000000,0.000000000000000,Partly Open,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
81,BCDU,Duncan,95,26.000000000000000,40.000000000000000,5.000000000000000,5.000000000000000,,0.000000000000000,0.000000000000000,Partly Frozen,Partly Frozen,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
82,BCFA,Fauquier,95,17.000000000000000,25.000000000000000,5.000000000000000,20.000000000000000,Northwest,0.000000000000000,24.000000000000000,Partly Open,Partly Open,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
83,BCHR,Harrison River,95,36.000000000000000,40.000000000000000,23.000000000000000,23.000000000000000,Northeast,0.000000000000000,0.000000000000000,Open,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
84,BCKA,Kamloops,95,32.000000000000000,45.000000000000000,16.000000000000000,16.000000000000000,East,0.000000000000000,4.000000000000000,Partly Open,Partly Frozen,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
85,BCKB,Kimberley,95,-10.000000000000000,2.000000000000000,5.000000000000000,5.000000000000000,West,3.000000000000000,24.000000000000000,Frozen,Partly Open,Local Fog,Clear,Unknown,Unknown,Unknown,Unknown
86,BCKE,Kelowna,95,30.000000000000000,39.000000000000000,0.000000000000000,0.000000000000000,Calm,4.000000000000000,4.000000000000000,Partly Open,Partly Open,Cloudy,Foggy,Unknown,Unknown,Unknown,Unknown
87,BCKI,Kitimat,95,20.000000000000000,30.000000000000000,15.000000000000000,15.000000000000000,,15.000000000000000,15.000000000000000,Partly Frozen,Open,Unknown,Unknown,None,None,Light,Light
88,BCLA,Ladner,95,35.000000000000000,42.000000000000000,0.000000000000000,0.000000000000000,Unknown,0.000000000000000,0.000000000000000,Open,Open,Foggy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
89,BCBA,Bamfield,96,40.000000000000000,45.000000000000000,20.000000000000000,20.000000000000000,South,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Heavy,None,None,Light
90,BCBL,Burns Lake-Francois Lake,96,10.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,Calm,24.000000000000000,24.000000000000000,Frozen,Frozen,Partly Cloudy,Partly Clear,None,None,Light,None
91,BCBR,Broughton Strait,96,41.000000000000000,43.000000000000000,10.000000000000000,25.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Cloudy,Light,Light,None,None
92,BCCB,Cranbrook,96,12.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,Calm,12.000000000000000,12.000000000000000,Frozen,Partly Frozen,Cloudy,Partly Cloudy,None,None,Heavy,None
93,BCCH,Chilliwack,96,38.000000000000000,42.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Partly Clear,Unknown,Unknown,Unknown,Unknown
94,BCCL,Clearwater,96,31.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,Calm,14.000000000000000,14.000000000000000,Frozen,Partly Frozen,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
95,BCCO,Comox,96,45.000000000000000,50.000000000000000,10.000000000000000,20.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,"Heavy,Light","Heavy,Light",None,None
96,BCCR,Campbell River,96,37.000000000000000,46.000000000000000,3.000000000000000,9.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Heavy,None,None
97,BCDB,Deep Bay,96,40.000000000000000,45.000000000000000,3.000000000000000,35.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,None,Heavy,None,None
98,BCDU,Duncan,96,40.000000000000000,45.000000000000000,5.000000000000000,5.000000000000000,Northwest,0.000000000000000,0.000000000000000,Open,Open,Foggy,Cloudy,Heavy,Heavy,None,None
99,BCFA,Fauquier,96,22.000000000000000,34.000000000000000,0.000000000000000,0.000000000000000,Calm,10.000000000000000,20.000000000000000,Partly Open,Open,Foggy,Cloudy,None,None,None,"Heavy,Light"
100,BCFS,Fort St. James,96,14.000000000000000,28.000000000000000,0.000000000000000,0.000000000000000,Calm,24.000000000000000,24.000000000000000,Frozen,Open,Foggy,Partly Cloudy,None,None,None,Light
101,BCHA,The Hazeltons,96,23.000000000000000,23.000000000000000,0.000000000000000,0.000000000000000,Calm,12.000000000000000,12.000000000000000,Frozen,Partly Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
102,BCHR,Harrison River,96,39.000000000000000,43.000000000000000,10.000000000000000,10.000000000000000,Variable,0.000000000000000,0.000000000000000,Open,Open,Foggy,Cloudy,Heavy,Heavy,None,None
103,BCKA,Kamloops,96,28.000000000000000,40.000000000000000,5.000000000000000,5.000000000000000,West,0.000000000000000,8.000000000000000,Open,Open,Partly Clear,Cloudy,None,None,Light,None
104,BCKB,Kimberley,96,20.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,Calm,15.000000000000000,15.000000000000000,Frozen,Partly Open,Cloudy,Partly Cloudy,None,None,Light,None
105,BCKE,Kelowna,96,28.000000000000000,38.000000000000000,0.000000000000000,0.000000000000000,Calm,4.000000000000000,4.000000000000000,Partly Open,Partly Open,Partly Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
106,BCKI,Kitimat,96,-25.000000000000000,-20.000000000000000,10.000000000000000,10.000000000000000,,20.000000000000000,20.000000000000000,Frozen,Partly Open,Cloudy,Cloudy,None,None,Light,Light
107,BCLA,Ladner,96,29.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Partly Open,Partly Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
108,BCBA,Bamfield,97,25.000000000000000,28.000000000000000,25.000000000000000,25.000000000000000,Northeast,2.000000000000000,6.000000000000000,Partly Frozen,Open,Cloudy,Cloudy,None,None,Heavy,Light
109,BCBL,Burns Lake-Francois Lake,97,3.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,Calm,34.000000000000000,34.000000000000000,Frozen,Frozen,Cloudy,Clear,None,None,Heavy,None
110,BCBR,Broughton Strait,97,17.000000000000000,20.000000000000000,30.000000000000000,30.000000000000000,Northeast,1.000000000000000,1.000000000000000,Open,Open,Cloudy,Partly Cloudy,None,None,Light,None
111,BCCB,Cranbrook,97,-14.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,Northwest,39.000000000000000,39.000000000000000,Frozen,Partly Open,Partly Cloudy,Cloudy,None,None,None,Light
112,BCCH,Chilliwack,97,32.000000000000000,34.000000000000000,10.000000000000000,10.000000000000000,East,8.000000000000000,8.000000000000000,Frozen,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
113,BCCL,Clearwater,97,18.000000000000000,21.000000000000000,15.000000000000000,15.000000000000000,Northwest,24.000000000000000,24.000000000000000,Frozen,Partly Frozen,Cloudy,Partly Cloudy,None,None,Heavy,Light
114,BCDB,Deep Bay,97,25.000000000000000,32.000000000000000,5.000000000000000,10.000000000000000,Northeast,0.000000000000000,3.000000000000000,Partly Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
115,BCFA,Fauquier,97,30.000000000000000,39.000000000000000,5.000000000000000,15.000000000000000,Variable,18.000000000000000,48.000000000000000,Frozen,Partly Open,Cloudy,Partly Cloudy,"Heavy,Light",None,None,None
116,BCFS,Fort St. James,97,-26.000000000000000,-22.000000000000000,0.000000000000000,0.000000000000000,Calm,33.000000000000000,33.000000000000000,Frozen,Partly Open,Local Fog,Clear,Unknown,Unknown,Unknown,Unknown
117,BCKA,Kamloops,97,1.000000000000000,2.000000000000000,23.000000000000000,23.000000000000000,West,8.000000000000000,26.000000000000000,Frozen,Partly Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
118,BCKB,Kimberley,97,5.000000000000000,23.000000000000000,1.000000000000000,3.000000000000000,South,31.000000000000000,31.000000000000000,Frozen,Partly Frozen,Clear,Clear,Unknown,Unknown,Unknown,Unknown
119,BCKE,Kelowna,97,19.000000000000000,34.000000000000000,0.000000000000000,0.000000000000000,Calm,20.000000000000000,20.000000000000000,Open,Partly Open,Cloudy,Cloudy,None,None,Light,None
120,BCKI,Kitimat,97,18.000000000000000,20.000000000000000,15.000000000000000,15.000000000000000,North,25.000000000000000,25.000000000000000,Frozen,Partly Frozen,Clear,Clear,Unknown,Unknown,Unknown,Unknown
121,BCLA,Ladner,97,32.000000000000000,43.000000000000000,0.000000000000000,0.000000000000000,Calm,7.000000000000000,7.000000000000000,Frozen,Partly Frozen,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
122,BCBA,Bamfield,98,40.000000000000000,45.000000000000000,20.000000000000000,30.000000000000000,South,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Light,Heavy,None,None
123,BCBL,Burns Lake-Francois Lake,98,20.000000000000000,30.000000000000000,5.000000000000000,5.000000000000000,South,8.000000000000000,8.000000000000000,Open,Open,Cloudy,Cloudy,None,None,None,Light
124,BCBR,Broughton Strait,98,29.000000000000000,35.000000000000000,10.000000000000000,20.000000000000000,Southeast,0.000000000000000,0.000000000000000,Partly Frozen,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
125,BCCB,Cranbrook,98,32.000000000000000,37.000000000000000,8.000000000000000,8.000000000000000,North,1.000000000000000,1.000000000000000,Frozen,Partly Open,Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
126,BCCH,Chilliwack,98,33.000000000000000,35.000000000000000,5.000000000000000,5.000000000000000,East,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Cloudy,Heavy,None,None,None
127,BCCL,Clearwater,98,30.000000000000000,36.000000000000000,0.000000000000000,0.000000000000000,Calm,5.000000000000000,5.000000000000000,Partly Frozen,Partly Frozen,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
128,BCCO,Comox,98,-29.000000000000000,42.000000000000000,10.000000000000000,10.000000000000000,Northwest,0.000000000000000,0.000000000000000,Open,Open,Clear,Clear,Unknown,Unknown,Unknown,Unknown
129,BCCR,Campbell River,98,36.000000000000000,42.000000000000000,10.000000000000000,10.000000000000000,Southeast,0.000000000000000,0.000000000000000,Open,Open,Cloudy,Foggy,Light,Light,None,None
130,BCDB,Deep Bay,98,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Calm,0.000000000000000,0.000000000000000,Open,Open,Partly Cloudy,Partly Cloudy,Light,Light,None,None
131,BCFA,Fauquier,98,25.000000000000000,37.000000000000000,0.000000000000000,15.000000000000000,Northwest,1.000000000000000,8.000000000000000,Partly Open,Open,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
